,자식마명,부마원,부마달러,모마원,모마달러
129,['비다사랑'],,"1,037,810USD ",,"2,600EUR "
130,['하륭'],,"617,310USD ",0원, 
131,['광양으뜸'],,"1,083,533USD ","43,870,000원", 
132,['빛나는질주'],,"493,755USD ","149,965,000원", 
133,['스마일레이디'],,"612,935USD ","165,950,000원", 
134,['퀵실버키튼'],,"2,075,791USD ",,325USD 
135,['마이티지'],,"3,044,000USD ",,"340,620USD "
136,['명진고스트'],,"3,446,120USD ",,"715,118USD "
137,['제주의보석'],,"210,553USD ","241,982,000원", 
138,['제이에스군황'],,"623,000USD ",,"99,631USD "
139,['강태풍'],,"462,574USD ",,"3,350USD "
140,['블로마인드'],,"905,434USD ",,0 
141,['축복예찬'],,"3,187,232USD ","167,070,000원", 
142,['매직주니어'],"824,725,000원", ,"102,630,000원", 
143,['파라곤캐슬'],,"617,310USD ","39,730,000원", 
144,['최강돌진'],,"493,755USD ","156,104,000원", 
145,['퍼스트로드'],,"1,732,000USD ","262,308,000원", 
146,['정성대로'],,"51,475USD ","138,480,000원", 
147,['볼드어게인'],,"1,037,810USD ",,0 
148,['마이티웰'],,"1,182,992USD ",,"84,738USD "
149,['쿨게이트'],,"568,086USD ","227,736,000원", 
150,['유쾌한선택'],"470,582,000원", ,"101,880,000원", 
151,['런던아이'],,"114,300USD ","13,680,000원", 
152,['마이티킥'],,"1,851,803USD ",,200USD 
153,['아이언돌핀'],,"1,732,780USD ",, 
154,['천지광풍'],,"32,400USD ",,"79,474USD "
155,['컴플리트밸류'],,"443,800USD ","30,450,000원", 
156,['질풍천하'],,"1,570,380USD ",,"24,520USD "
157,['슈퍼버드'],,"378,260USD ",,"84,117USD "
158,['슈퍼케이'],,"1,732,000USD ","142,225,000원", 
159,['프린세스데이'],,"1,083,533USD ","90,152,000원", 
160,['유쾌한날들'],,"1,810,805USD ","209,045,000원", 
161,['벤칼프린세스'],,"1,037,810USD ",,"5,939USD "
162,['별의순간'],,"1,732,000USD ",,"5,140USD "
163,['톱클래스'],,"583,280USD ",,0AUD 
164,['로드에이스'],"736,845,000원", ,"107,054,000원", 
165,['야무진꿈'],,"1,037,810USD ",,"2,200AUD "
166,['마파람'],,"114,300USD ","124,300,000원",0 
167,['포사포사'],,"1,103,496USD ","266,851,000원", 
168,['예술이야'],,"617,310USD ","143,204,000원", 
169,['천둥캣'],,"804,090USD ","274,440,000원", 
170,['원더풀우먼'],,"1,236,820USD ","69,468,000원", 
171,['킹크러시'],,"493,755USD ",,"42,690USD "
172,['별빛마루'],,"339,984USD ",,"77,031USD "
173,['원더풀샘'],,"1,779,012USD ","51,201,000원", 
174,['거센기상'],,"583,280USD ",,0 
175,['그레이트아이'],,"14,800,000JPY ",,"116,914,000JPY "
176,['히트볼'],,"1,083,533USD ","756,787,000원", 
177,['레드케이'],,"1,810,805USD ","148,346,000원", 
178,['빅야크'],,"1,101,924USD ",, 
179,['럭키시엠프레'],,"251,090USD ",,"21,489USD "
180,['불방울'],,"1,810,805USD ",,"57,384USD "
181,['신의한수'],,"1,779,012USD ","17,025,000원", 
182,['금성맨'],,"205,617USD ","98,200,000원", 
183,['조이풀피스'],,"3,084,278USD ","971,650,000원", 
184,['승부사'],,"101,633USD ",,0 
185,['퍼플케이'],,"1,732,000USD ",,"89,913USD "
186,['스피드팔콘'],,"1,103,496USD ",, 
187,['메니피뮤직'],,"1,732,000USD ",,0 
188,['그린백'],,"1,779,012USD ","168,516,000원", 
189,['야무진배짱'],,"1,570,380USD ","96,980,000원", 
190,['루비로드'],,"835,140USD ",0원, 
191,['파인팜'],,"1,810,805USD ","176,030,000원", 
192,['라피어반'],,"529,566USD ",,"5,560USD "
193,['시선주마'],,"804,090USD ","15,808,000원", 
194,['다이아마이트'],,"1,810,805USD ","308,100,000원", 
195,['화려한미소'],"1,087,822,000원", ,"49,340,000원", 
196,['루비캣'],,"51,475USD ","408,630,000원", 
197,['멋진가람'],,"3,545,062USD ",,0JPY 
198,['블루마리아'],,"1,083,533USD ",,"11,189USD "
199,['퀸엔젤'],,"3,000USD ","113,642,000원", 
200,['로드스카이'],,"633,076USD ",, 
201,['원평가속'],,"1,732,000USD ","39,555,000원", 
202,['라온더스퍼트'],,"1,236,820USD ",,"22,590,000JPY "
203,['천지지대'],,"172,705,000JPY ","196,259,000원", 
204,['컴플리트타임'],,"583,280USD ","259,050,000원", 
205,['텐배거'],,"1,037,810USD ","171,020,000원", 
206,['천리총'],,"1,810,805USD ","113,975,000원", 
207,['정상파이팅'],,"1,810,805USD ",,0 
208,['브라운참'],,"1,103,496USD ","648,176,000원", 
209,['마이티선샤인'],,"568,086USD ","118,483,000원", 
210,['청산영웅'],,"1,732,000USD ",,"3,500USD "
211,['누비강자'],,"617,310USD ","270,345,000원", 
212,['머니탑'],"470,582,000원", ,"13,500,000원", 
213,['뉴스타영천'],,"1,732,000USD ","156,620,000원", 
214,['레이디퍼스트'],,"254,672USD ","90,960,000원",0 
215,['빛의대륙'],,"669,260USD ",,"88,898USD "
216,['푸른요정'],,"389,141USD ","181,420,000원", 
217,['파워박스'],,"1,503,825USD ",,0 
218,['트로트퀸'],,"114,300USD ",,"243,390USD "
219,['럭키크라운'],,"443,800USD ",,"103,052USD "
