,자식마명,부마원,부마달러,모마원,모마달러
356,['흥드림'],,"416,475,000JPY ","16,800,000원", 
357,['지금여기에'],,"1,779,012USD ","539,152,000원", 
358,['월드메니피'],,"1,732,000USD ","85,690,000원", 
359,['리턴밸리브리'],,"416,475,000JPY ","256,236,000원", 
360,['챔피언가문'],,"254,672USD ","438,663,000원", 
361,['원더풀스톰'],,"1,732,000USD ",,"210,188USD "
362,['록비트'],,"1,570,380USD ",,"41,475USD "
363,['어플리트마린'],,"695,299USD ",,"130,150USD "
364,['베스트패밀리'],,"1,810,805USD ",,"57,200USD "
365,['미소가득'],,"339,984USD ",,"121,476USD "
366,['아로마'],,"210,553USD ",0원, 
367,['골든배지'],,"114,300USD ",,"44,645USD "
368,['해피나이스'],,"1,083,533USD ","247,760,000원", 
369,['햇빛향기'],,"3,084,278USD ","197,810,000원", 
370,['히트하트'],,"339,984USD ","118,653,000원", 
371,['럭셔리골드'],,"3,084,278USD ",,"53,849USD "
372,['시크릿걸'],,"205,617USD ","49,665,000원", 
373,['미스터원더풀'],,"254,672USD ",,"53,919USD "
374,['마이티뉴'],,"1,092,410USD ",, 
375,['거미손'],,"1,636,426USD ",,"4,767USD "
376,['에코빅터'],,"794,855USD ",,"53,059USD "
377,['삼단가속'],,"529,566USD ",,0 
378,['창성히트'],,"377,066USD ",, 
379,['장산골드'],,"3,044,000USD ",,"83,550USD "
380,['매직알리바바'],,"492,430USD ",,"2,240EUR "
381,['흥애디'],,"844,919USD ",,0 
382,['문학앙코르'],,"738,843USD ",,"61,766USD "
383,['장산럭키'],,"794,855USD ",,"237,940USD "
384,['인천보스'],,"794,855USD ",,"6,120USD "
385,['비무량'],,"2,765,800USD ",,0 
386,['록하드세븐'],,"1,570,380USD ",,"2,500USD "
387,['트리플나인'],,"1,503,825USD ",,0USD 
388,['월드파워'],,"1,889,766USD ",,"85,924USD "
389,['보문정기'],,"1,080,700USD ",,"4,200USD "
390,['핵삭스'],,"1,810,805USD ",,"39,894CAD "
391,['천상의여인'],,"339,984USD ","177,507,000원", 
392,['데카브리스트'],,"51,475USD ",,"79,688USD "
393,['르루아블랑'],,"339,984USD ","231,048,000원", 
394,['금백조'],,"1,570,380USD ",,"24,008USD "
395,['모닝동자'],"392,700,000원", ,,0 
396,['마칼루파워'],"130,428,000원", ,"69,936,000원", 
397,['하트제니'],,"339,984USD ","23,940,000원", 
398,['초원블루'],,"396,254USD ","89,420,000원", 
399,['배다리캔디'],,"1,659,560USD ",,"98,081USD "
400,['크라운조이'],,"1,607,774USD ","138,984,000원", 
401,['땡벌'],,"1,570,380USD ","90,138,000원", 
402,['쏘아라바바'],,"1,037,810USD ",,"170,121USD "
403,['스톰로드'],,"835,140USD ",0원, 
404,['그린최강'],,"1,103,496USD ",,"62,634USD "
405,['파이팅걸'],,"583,280USD ",,0 
406,['소우주'],,"389,141USD ","194,980,000원", 
407,['좋은사이'],,"416,475,000JPY ","80,230,000원", 
408,['다이아하트'],,"493,755USD ","133,470,000원", 
409,['영광의미소'],,"1,810,805USD ","62,770,000원", 
410,['라온패션'],,"583,280USD ",,"184,563USD "
411,['독도사랑'],,"51,475USD ",,0 
412,['라이드맨'],,"1,570,380USD ",,0 
413,['피어나다'],,"254,672USD ",,"133,355USD "
414,['무쌍황후'],,"996,330USD ",,"226,990USD "
